Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,770,680,800,950,1340,1870,3010,2350,2870,3730,3560,3190,2690,2180,1740,1800,1820,2110,2100,1140,1970
Togo,TGO,530,530,550,450,420,410,420,470,430,420,410,390,400,470,520,540,550,560,630,710,740,800,790,830,850,850,810,790,860,880,880,940,990
Tonga,TON,1180,1300,1390,1470,1750,2000,2280,2240,2140,2070,1990,1930,1910,1900,2060,2300,2600,2790,3160,3080,3270,3660,4130,4320,4350,4210,4220,4440,4710,5130,5200,4930,..
Trinidad and Tobago,TTO,3570,3750,4250,3920,3720,3810,4050,4300,4410,4650,5140,5770,6420,7650,9190,10590,12560,14170,16370,15270,15500,14090,16750,18760,19110,19020,16510,15560,15260,15620,13830,15000,16330
Tunisia,TUN,1380,1430,1640,1620,1670,1760,1930,2080,2110,2220,2230,2200,2130,2390,2820,3080,3240,3450,3770,3970,4090,4010,4190,4240,4250,4070,3870,3650,3650,3540,3220,3560,3840
Turkiye,TUR,2290,2570,2920,3120,2650,2810,2880,3140,3390,3540,4260,3530,3540,3900,5210,6750,7790,8840,9730,9520,10370,11200,11860,12500,12480,11860,11090,10850,10470,9690,9080,9920,10590
Turkmenistan,TKM,..,..,..,800,680,600,610,550,560,610,590,640,730,960,1270,1550,1830,2250,2940,3430,3930,4560,5370,6280,6950,6790,6590,6160,6500,7080,..,..,..
Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22050,23420,24990,24850,26420,26960,20270,23000,24160
Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,2700,3430,2620,3390,3760,3930,4690,4800,4900,4510,4760,4480,5650,4790,5690,5490,5350,6160,6650,6470,6830,7210
Uganda,UGA,320,240,190,170,180,230,270,290,290,280,270,240,250,250,280,310,350,380,430,550,680,860,830,810,830,850,820,760,770,810,820,860,930
Ukraine,UKR,1610,1520,1410,1230,1000,920,860,890,850,760,680,720,790,980,1270,1540,1950,2590,3210,2840,3030,3150,3650,3950,3560,2800,2360,2360,2750,3310,3570,4130,4270
United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,30050,30570,29620,31910,36840,40190,42600,41580,40490,34670,33670,36540,41810,45850,47420,46270,44460,42090,44350,46210,41600,43460,48950
